timestamp,description,pid,name,cpu_percent,memory_mb,memory_percent,disk_read_kb,disk_write_kb
2025-09-15 17:01:11.860117,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,15.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:12.261204,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:12.261204,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:12.662242,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:12.662242,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:13.063324,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:13.063324,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:13.464567,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:13.464567,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,0.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:13.865770,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:13.865770,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:14.266978,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:14.266978,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:14.668101,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:14.668101,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,10.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:15.069292,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:15.069292,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:15.470575,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:15.470575,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:15.871686,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:15.871686,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
2025-09-15 17:01:16.272836,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,607234,nvidia-smi,0.0,19.2,0.0,145.2,0.0
2025-09-15 17:01:16.272836,--throughput 1000 --allocate-size 2048 --free-ratio 1.0,1258836,gpu-memleak-trace,5.0,81.1,0.1,50.9,0.0
